token,timestamp,open,high,low,close,volume
EURUSDT,1651363200000,1.051,1.055,1.05,1.054,22238671.8
EURUSDT,1651449600000,1.054,1.056,1.048,1.051,34718338.1
EURUSDT,1651536000000,1.05,1.057,1.049,1.051,35495035.6
EURUSDT,1651622400000,1.051,1.062,1.049,1.062,43162481.6
EURUSDT,1651708800000,1.062,1.063,1.048,1.052,45166332.8
EURUSDT,1651795200000,1.052,1.059,1.048,1.054,43196942.3
EURUSDT,1651881600000,1.053,1.054,1.051,1.054,32947664.9
EURUSDT,1651968000000,1.054,1.054,1.051,1.053,32740233.5
EURUSDT,1652054400000,1.052,1.059,1.049,1.055,65637855.1
EURUSDT,1652140800000,1.055,1.059,1.051,1.052,73105130.7
EURUSDT,1652227200000,1.052,1.059,1.051,1.056,121363168.1
EURUSDT,1652313600000,1.056,1.2,1.038,1.04,197771083.32
EURUSDT,1652400000000,1.041,1.043,1.035,1.041,65321560.2
EURUSDT,1652486400000,1.041,1.043,1.039,1.04,32441764.1
EURUSDT,1652572800000,1.04,1.041,1.038,1.039,28013165.1
EURUSDT,1652659200000,1.039,1.045,1.039,1.044,39050955.8
EURUSDT,1652745600000,1.043,1.056,1.043,1.056,48135859.7
EURUSDT,1652832000000,1.056,1.057,1.046,1.047,46451004.9
EURUSDT,1652918400000,1.047,1.061,1.047,1.059,44296913.5
EURUSDT,1653004800000,1.059,1.06,1.053,1.055,46483715.5
EURUSDT,1653091200000,1.056,1.058,1.055,1.057,18822022.9
EURUSDT,1653177600000,1.057,1.058,1.055,1.057,22184347.0
EURUSDT,1653264000000,1.057,1.07,1.056,1.068,42780906.3
EURUSDT,1653350400000,1.068,1.075,1.066,1.073,34096714.7
EURUSDT,1653436800000,1.072,1.074,1.064,1.07,34548503.5
EURUSDT,1653523200000,1.069,1.074,1.066,1.074,34826235.6
EURUSDT,1653609600000,1.074,1.077,1.07,1.074,35762563.9
EURUSDT,1653696000000,1.073,1.074,1.071,1.073,18854232.1
EURUSDT,1653782400000,1.073,1.074,1.072,1.072,16097475.0
EURUSDT,1653868800000,1.072,1.079,1.072,1.077,37367746.4
EURUSDT,1653955200000,1.076,1.078,1.068,1.074,40292937.2
EURUSDT,1654041600000,1.073,1.074,1.063,1.066,40221829.0
EURUSDT,1654128000000,1.065,1.075,1.064,1.074,33374820.7
EURUSDT,1654214400000,1.074,1.076,1.07,1.072,36917177.9
EURUSDT,1654300800000,1.072,1.072,1.069,1.071,19496479.3
EURUSDT,1654387200000,1.071,1.073,1.07,1.072,15988962.7
EURUSDT,1654473600000,1.073,1.076,1.068,1.068,26687156.2
EURUSDT,1654560000000,1.069,1.072,1.063,1.07,31764311.1
EURUSDT,1654646400000,1.07,1.075,1.066,1.072,31493488.6
EURUSDT,1654732800000,1.071,1.079,1.061,1.063,35850609.1
EURUSDT,1654819200000,1.063,1.065,1.05,1.051,30124580.9
EURUSDT,1654905600000,1.052,1.053,1.049,1.051,19790869.2
EURUSDT,1654992000000,1.05,1.053,1.048,1.05,24259944.0
EURUSDT,1655078400000,1.049,1.051,1.04,1.04,59718882.4
EURUSDT,1655164800000,1.04,1.048,1.039,1.0436,59603724.0
EURUSDT,1655251200000,1.0436,1.0501,1.0367,1.0453,74425792.1
EURUSDT,1655337600000,1.0452,1.0592,1.0382,1.0531,53726340.4
EURUSDT,1655424000000,1.053,1.0536,1.0443,1.0485,40862654.4
EURUSDT,1655510400000,1.0484,1.0486,1.043,1.0451,43821043.6
EURUSDT,1655596800000,1.0452,1.0472,1.042,1.0471,32920036.8
EURUSDT,1655683200000,1.0472,1.054,1.0471,1.0526,84515063.1
EURUSDT,1655769600000,1.0526,1.0581,1.0515,1.0531,55439049.0
EURUSDT,1655856000000,1.0531,1.0606,1.0472,1.0569,41705445.1
EURUSDT,1655942400000,1.0569,1.0584,1.0492,1.0525,39540842.1
EURUSDT,1656028800000,1.0525,1.0569,1.0518,1.0551,49122392.7
EURUSDT,1656115200000,1.0551,1.0555,1.053,1.0541,28675951.8
EURUSDT,1656201600000,1.0542,1.0569,1.0531,1.0565,28091573.3
EURUSDT,1656288000000,1.0564,1.0614,1.0552,1.0584,51460729.8
EURUSDT,1656374400000,1.0585,1.0609,1.0507,1.0533,48111222.1
